store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
4.51823E+15,60,10,92,0,0,0
5.9701E+15,60,12.5,87.5,0,0,0
8.19031E+15,0,0,0,60,24,168
1.0914E+16,60,24,168,0,0,0
1.22923E+16,60,24,168,0,0,0
1.25726E+16,0,0,43,60,4.5,9
8.63653E+15,60,8.5,59.5,0,0,0
1.18929E+16,0,0,13.5,60,6,24
1.2555E+16,60,15,112,0,0,0
2.57406E+14,60,23.98,167.88,0,0,0
2.8438E+15,0,0,0,60,12,84
1.55542E+16,0,0,0,60,24,168
3.2258E+15,60,23.98,161.88,0,0,0
1.49709E+16,60,16.5,115.5,0,0,0
2.08761E+16,60,23.85,163.84,0,0.13,4.05
1.16704E+16,0,0,0,60,24,168
2.99993E+16,0,0,0,60,24,168
1.81766E+16,0,0,41.87,60,14,57.1
1.79853E+16,60,14,98,0,0,0
1.49647E+16,0,6.5,45.5,60,0,0
1.55943E+16,0,4.98,32.4,60,0,0
2.63463E+16,60,17,119,0,0,0
2.27149E+16,0,0,0,60,24,168
3.5092E+16,0,7,83,60,0,0
2.22844E+16,0,12.98,89.88,60,0,0
2.53357E+16,60,18,125,0,0,0
2.9888E+16,60,10,84,0,0,0
1.46121E+16,60,24,168,0,0,0
2.87297E+16,60,14.5,98.5,0,0,0
3.06745E+16,60,14.5,101.5,0,0,0
1.83211E+16,60,10,70,0,0,0
3.747E+16,60,23.98,167.88,0,0,0
4.03053E+16,0,0,24,60,8,32
2.53564E+16,0,8.95,72.95,60,2.05,2.05
4.024E+16,0,0,41,60,14,57.97
2.30378E+16,60,23.89,167.61,0,0.09,0.28
2.99345E+16,60,11.25,67.23,0,0,0
4.11034E+16,0,5.78,40.5,60,0,16.5
4.64742E+15,60,10,98,0,0,0
7.2345E+15,0,0,39.97,60,7.98,31.95
2.24004E+16,60,14,98,0,0,0
5.25664E+15,60,6.5,93.5,0,0,0
1.06987E+16,60,12.98,90.92,0,0,0
1.85056E+16,60,16.5,115,0,0,0
2.57091E+15,0,3.93,136.78,60,20.05,31.11
1.15597E+16,0,0,0,60,13,91
1.48309E+16,60,18,126,0,0,0
2.13248E+16,60,14,82.22,0,0,8.78
3.09082E+14,60,24,160.5,0,0,0
2.81722E+16,0,0,0,60,5.78,88
3.79021E+16,60,12.98,89.93,0,0,0
1.89203E+16,60,12,81,0,0,0
3.83313E+16,60,12.5,89.5,0,0,0
1.66063E+16,60,23.98,167.88,0,0,0
3.03651E+16,0,0,0,60,10,70
3.57203E+16,0,0,0,60,7.67,86.33
2.70991E+16,60,7.5,67,0,0,0
3.69069E+16,60,24,168,0,0,0
3.71453E+16,60,23.98,167.88,0,0,0
3.91397E+16,0,0,0,60,12,84
4.3239E+16,60,24,168,0,0,0
3.7936E+16,60,11.75,89.18,0,0,0
5.33496E+16,0,0,0,60,24,168
5.62293E+16,60,11.98,49.21,0,0,34.67
3.84947E+16,60,11,79,0,0,0
